2026-07-31 16:51:59,688 REQ-E17F5F | /accounts/login/ | MIDDLEWARE_AUTH | 1ms | 0 | OK
2026-07-31 16:51:59,688 REQ-E17F5F | /accounts/login/ | DB | 55ms | 16 | OK
2026-07-31 16:51:59,688 REQ-E17F5F | /accounts/login/ | VIEW | 2112ms | 16 | SLOW
2026-07-31 16:51:59,688 REQ-E17F5F | /accounts/login/ | MW_MODULE_ACCESS | 2164ms | 0 | SLOW
2026-07-31 16:51:59,688 REQ-E17F5F | /accounts/login/ | TEMPLATE | 0ms | 0 | OK
2026-07-31 16:51:59,688 REQ-E17F5F | /accounts/login/ | TOTAL | 2168ms | 16 | SLOW
2026-07-31 17:04:04,149 REQ-D18595 | /rowlock/release/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-07-31 17:04:04,149 REQ-D18595 | /rowlock/release/ | DB | 13ms | 3 | OK
2026-07-31 17:04:04,149 REQ-D18595 | /rowlock/release/ | VIEW | 1582ms | 3 | SLOW
2026-07-31 17:04:04,149 REQ-D18595 | /rowlock/release/ | MW_MODULE_ACCESS | 1591ms | 0 | SLOW
2026-07-31 17:04:04,149 REQ-D18595 | /rowlock/release/ | TEMPLATE | 0ms | 0 | OK
2026-07-31 17:04:04,149 REQ-D18595 | /rowlock/release/ | TOTAL | 1596ms | 3 | SLOW
2026-07-31 17:23:58,251 REQ-31B2B2 | /inputscreening/verify_tray/ | MIDDLEWARE_AUTH | 6044ms | 0 | CRITICAL
2026-07-31 17:23:58,251 REQ-31B2B2 | /inputscreening/verify_tray/ | DB | 31ms | 13 | OK
2026-07-31 17:23:58,251 REQ-31B2B2 | /inputscreening/verify_tray/ | VIEW | 4ms | 13 | OK
2026-07-31 17:23:58,251 REQ-31B2B2 | /inputscreening/verify_tray/ | MW_MODULE_ACCESS | 6074ms | 0 | CRITICAL
2026-07-31 17:23:58,251 REQ-31B2B2 | /inputscreening/verify_tray/ | TEMPLATE | 0ms | 0 | OK
2026-07-31 17:23:58,251 REQ-31B2B2 | /inputscreening/verify_tray/ | TOTAL | 6079ms | 13 | CRITICAL
2026-07-31 17:23:59,046 REQ-19E2AE | /rowlock/status/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-07-31 17:23:59,046 REQ-19E2AE | /rowlock/status/ | DB | 18ms | 3 | OK
2026-07-31 17:23:59,046 REQ-19E2AE | /rowlock/status/ | VIEW | 3334ms | 3 | SLOW
2026-07-31 17:23:59,046 REQ-19E2AE | /rowlock/status/ | MW_MODULE_ACCESS | 3323ms | 0 | SLOW
2026-07-31 17:23:59,046 REQ-19E2AE | /rowlock/status/ | TEMPLATE | 0ms | 0 | OK
2026-07-31 17:23:59,046 REQ-19E2AE | /rowlock/status/ | TOTAL | 3352ms | 3 | SLOW
2026-08-03 12:42:04,664 REQ-EA23CA | /dayplanning/dp_pick_table/ | MIDDLEWARE_AUTH | 94ms | 0 | OK
2026-08-03 12:42:04,664 REQ-EA23CA | /dayplanning/dp_pick_table/ | DB | 654ms | 40 | OK
2026-08-03 12:42:04,664 REQ-EA23CA | /dayplanning/dp_pick_table/ | VIEW | 58ms | 40 | OK
2026-08-03 12:42:04,664 REQ-EA23CA | /dayplanning/dp_pick_table/ | DP_PERMISSION_CHECK | 107ms | 0 | OK
2026-08-03 12:42:04,664 REQ-EA23CA | /dayplanning/dp_pick_table/ | DP_DATA_FETCH | 263ms | 0 | OK
2026-08-03 12:42:04,664 REQ-EA23CA | /dayplanning/dp_pick_table/ | DP_PROCESSING | 323ms | 0 | OK
2026-08-03 12:42:04,664 REQ-EA23CA | /dayplanning/dp_pick_table/ | MW_MODULE_ACCESS | 983ms | 0 | OK
2026-08-03 12:42:04,664 REQ-EA23CA | /dayplanning/dp_pick_table/ | TEMPLATE | 197ms | 0 | OK
2026-08-03 12:42:04,664 REQ-EA23CA | /dayplanning/dp_pick_table/ | TOTAL | 1002ms | 40 | SLOW
2026-08-03 15:39:31,985 REQ-092E5C | /dayplanning/dp_completed_table/ | MIDDLEWARE_AUTH | 2ms | 0 | OK
2026-08-03 15:39:31,985 REQ-092E5C | /dayplanning/dp_completed_table/ | DB | 28ms | 42 | OK
2026-08-03 15:39:31,985 REQ-092E5C | /dayplanning/dp_completed_table/ | VIEW | 7956ms | 42 | CRITICAL
2026-08-03 15:39:31,985 REQ-092E5C | /dayplanning/dp_completed_table/ | MW_MODULE_ACCESS | 8104ms | 0 | CRITICAL
2026-08-03 15:39:31,985 REQ-092E5C | /dayplanning/dp_completed_table/ | TEMPLATE | 120ms | 0 | OK
2026-08-03 15:39:31,985 REQ-092E5C | /dayplanning/dp_completed_table/ | TOTAL | 8107ms | 42 | CRITICAL
2026-08-04 10:08:36,715 REQ-3FD330 | /adminportal/api/shortcuts/ | MIDDLEWARE_AUTH | 1ms | 0 | OK
2026-08-04 10:08:36,715 REQ-3FD330 | /adminportal/api/shortcuts/ | DB | 376ms | 3 | OK
2026-08-04 10:08:36,715 REQ-3FD330 | /adminportal/api/shortcuts/ | VIEW | 791ms | 3 | OK
2026-08-04 10:08:36,715 REQ-3FD330 | /adminportal/api/shortcuts/ | MW_MODULE_ACCESS | 1122ms | 0 | SLOW
2026-08-04 10:08:36,715 REQ-3FD330 | /adminportal/api/shortcuts/ | TEMPLATE | 0ms | 0 | OK
2026-08-04 10:08:36,715 REQ-3FD330 | /adminportal/api/shortcuts/ | TOTAL | 1167ms | 3 | SLOW
2026-08-04 10:38:19,424 REQ-5E899E | /JigUnloading_Zone2/JU_Zone_MainTable/ | MIDDLEWARE_AUTH | 7ms | 0 | OK
2026-08-04 10:38:19,424 REQ-5E899E | /JigUnloading_Zone2/JU_Zone_MainTable/ | DB | 12516ms | 50 | CRITICAL
2026-08-04 10:38:19,424 REQ-5E899E | /JigUnloading_Zone2/JU_Zone_MainTable/ | VIEW | 3754ms | 50 | SLOW
2026-08-04 10:38:19,424 REQ-5E899E | /JigUnloading_Zone2/JU_Zone_MainTable/ | MW_MODULE_ACCESS | 19691ms | 0 | CRITICAL
2026-08-04 10:38:19,424 REQ-5E899E | /JigUnloading_Zone2/JU_Zone_MainTable/ | TEMPLATE | 3415ms | 0 | SLOW
2026-08-04 10:38:19,424 REQ-5E899E | /JigUnloading_Zone2/JU_Zone_MainTable/ | TOTAL | 19693ms | 50 | CRITICAL
2026-08-04 10:52:01,060 REQ-18B558 | /dayplanning/dp_completed_table/ | MIDDLEWARE_AUTH | 4ms | 0 | OK
2026-08-04 10:52:01,060 REQ-18B558 | /dayplanning/dp_completed_table/ | DB | 21ms | 7 | OK
2026-08-04 10:52:01,060 REQ-18B558 | /dayplanning/dp_completed_table/ | VIEW | 8839ms | 7 | CRITICAL
2026-08-04 10:52:01,060 REQ-18B558 | /dayplanning/dp_completed_table/ | MW_MODULE_ACCESS | 8969ms | 0 | CRITICAL
2026-08-04 10:52:01,060 REQ-18B558 | /dayplanning/dp_completed_table/ | TEMPLATE | 106ms | 0 | OK
2026-08-04 10:52:01,060 REQ-18B558 | /dayplanning/dp_completed_table/ | TOTAL | 8971ms | 7 | CRITICAL
2026-08-04 11:41:34,293 REQ-6BDDCA | /dayplanning/tray_id_unique_check/ | MIDDLEWARE_AUTH | 175ms | 0 | OK
2026-08-04 11:41:34,294 REQ-6BDDCA | /dayplanning/tray_id_unique_check/ | DB | 930ms | 6 | OK
2026-08-04 11:41:34,294 REQ-6BDDCA | /dayplanning/tray_id_unique_check/ | VIEW | 0ms | 6 | OK
2026-08-04 11:41:34,294 REQ-6BDDCA | /dayplanning/tray_id_unique_check/ | MW_MODULE_ACCESS | 1068ms | 0 | SLOW
2026-08-04 11:41:34,294 REQ-6BDDCA | /dayplanning/tray_id_unique_check/ | TEMPLATE | 0ms | 0 | OK
2026-08-04 11:41:34,294 REQ-6BDDCA | /dayplanning/tray_id_unique_check/ | TOTAL | 1078ms | 6 | SLOW
2026-08-04 11:58:50,701 REQ-120D29 | /jig_unloading/api/validate_tray_occupancy_z1/ | MIDDLEWARE_AUTH | 1256ms | 0 | SLOW
